,Made Donation in March 2007
659,0.15
276,0.116438356164384
263,0.226277372262774
303,0.116438356164384
83,0.4
500,0.7
530,0.226277372262774
244,0.116438356164384
249,0.116438356164384
728,0.116438356164384
129,0.116438356164384
534,0.116438356164384
317,0.15
401,0.226277372262774
696,0.226277372262774
192,0.116438356164384
176,0.116438356164384
571,0.116438356164384
139,0.116438356164384
423,0.226277372262774
563,0.882352941176471
56,0.40625
528,0.882352941176471
101,0.226277372262774
467,0.226277372262774
382,0.15
466,0.226277372262774
294,0.116438356164384
512,0.226277372262774
659,0.15
389,0.15
487,0.116438356164384
701,0.226277372262774
419,0.15
536,0.226277372262774
240,0.116438356164384
508,0.226277372262774
515,0.116438356164384
283,0.40625
650,0.226277372262774
65,0.226277372262774
228,0.116438356164384
741,0.116438356164384
297,0.40625
464,0.116438356164384
63,0.226277372262774
231,0.226277372262774
28,0.116438356164384
248,0.116438356164384
357,0.116438356164384
300,0.15
726,0.777777777777778
680,0.116438356164384
520,0.40625
254,0.116438356164384
582,0.116438356164384
143,0.15
98,0.764705882352941
1,0.226277372262774
221,0.15
352,0.226277372262774
64,0.116438356164384
138,0.116438356164384
745,0.15
64,0.116438356164384
688,0.116438356164384
623,0.116438356164384
289,0.116438356164384
174,0.116438356164384
690,0.226277372262774
105,0.116438356164384
427,0.116438356164384
48,0.116438356164384
14,0.226277372262774
657,0.116438356164384
301,0.116438356164384
455,0.116438356164384
579,0.15
722,0.116438356164384
98,0.764705882352941
491,0.116438356164384
303,0.116438356164384
466,0.226277372262774
65,0.226277372262774
300,0.15
9,0.116438356164384
622,0.116438356164384
323,0.116438356164384
289,0.116438356164384
568,0.226277372262774
290,0.226277372262774
156,0.226277372262774
464,0.116438356164384
426,0.116438356164384
306,0.116438356164384
4,0.116438356164384
12,0.40625
187,0.116438356164384
406,0.116438356164384
96,0.226277372262774
509,0.226277372262774
733,0.116438356164384
548,0.116438356164384
478,0.116438356164384
501,0.116438356164384
127,0.226277372262774
199,0.116438356164384
299,0.666666666666667
162,0.226277372262774
235,0.116438356164384
23,0.116438356164384
473,0.226277372262774
487,0.116438356164384
683,0.882352941176471
303,0.116438356164384
309,0.116438356164384
569,0.116438356164384
34,0.882352941176471
686,0.7
84,0.226277372262774
733,0.116438356164384
537,0.666666666666667
181,0.116438356164384
453,0.777777777777778
67,0.15
161,0.15
307,0.40625
703,0.116438356164384
181,0.116438356164384
246,0.116438356164384
316,0.40625
278,0.116438356164384
346,0.116438356164384
545,0.226277372262774
419,0.15
694,0.226277372262774
622,0.116438356164384
663,0.116438356164384
262,0.7
461,0.15
373,0.777777777777778
233,0.226277372262774
466,0.226277372262774
207,0.15
263,0.226277372262774
16,0.116438356164384
513,0.116438356164384
449,0.40625
429,0.116438356164384
701,0.226277372262774
632,0.116438356164384
529,0.666666666666667
245,0.116438356164384
344,0.116438356164384
353,0.116438356164384
241,0.116438356164384
633,0.116438356164384
624,0.226277372262774
726,0.777777777777778
189,0.116438356164384
138,0.116438356164384
402,0.116438356164384
511,0.40625
590,0.116438356164384
334,0.226277372262774
447,0.116438356164384
119,0.226277372262774
389,0.15
644,0.226277372262774
423,0.226277372262774
131,0.116438356164384
405,0.116438356164384
82,0.226277372262774
643,0.777777777777778
156,0.226277372262774
617,0.116438356164384
574,0.226277372262774
272,0.15
613,0.116438356164384
545,0.226277372262774
685,0.116438356164384
570,0.116438356164384
537,0.666666666666667
691,0.116438356164384
85,0.15
483,0.116438356164384
455,0.116438356164384
93,0.116438356164384
744,0.226277372262774
33,0.116438356164384
321,0.777777777777778
523,0.226277372262774
426,0.116438356164384
196,0.116438356164384
301,0.116438356164384
103,0.116438356164384
224,0.116438356164384
454,0.116438356164384
585,0.116438356164384
154,0.15
